minbucket	cp	max_depth	min_split	ganancia_promedio
5	-0.3	20	2000	9343333
5	-0.3	20	1000	10196667
5	-0.3	20	800	10033333
5	-0.3	20	600	8560000
5	-0.3	20	400	6553333
5	-0.3	20	200	4333333
5	-0.3	20	100	2830000
5	-0.3	20	50	1783333
5	-0.3	20	20	1140000
5	-0.3	20	10	8.00E+05
5	-0.3	50	2000	NA
5	-0.3	50	1000	NA
5	-0.3	50	800	NA
5	-0.3	50	600	NA
5	-0.3	50	400	NA
5	-0.3	50	200	NA
5	-0.3	50	100	NA
5	-0.3	50	50	NA
5	-0.3	50	20	NA
5	-0.3	50	10	NA
5	-0.3	750	2000	NA
5	-0.3	750	1000	NA
5	-0.3	750	800	NA
5	-0.3	750	600	NA
5	-0.3	750	400	NA
5	-0.3	750	200	NA
5	-0.3	750	100	NA
5	-0.3	750	50	NA
5	-0.3	750	20	NA
5	-0.3	750	10	NA
5	-0.3	1000	2000	NA
5	-0.3	1000	1000	NA
5	-0.3	1000	800	NA
5	-0.3	1000	600	NA
5	-0.3	1000	400	NA
5	-0.3	1000	200	NA
5	-0.3	1000	100	NA
5	-0.3	1000	50	NA
5	-0.3	1000	20	NA
5	-0.3	1000	10	NA
5	-0.2	4	2000	9076667
5	-0.2	4	1000	9066667
5	-0.2	4	800	9066667
5	-0.2	4	600	9066667
5	-0.2	4	400	9066667
5	-0.2	4	200	9066667
5	-0.2	4	100	9066667
5	-0.2	4	50	9066667
5	-0.2	4	20	9066667
5	-0.2	4	10	9066667
5	-0.2	6	2000	10683333
5	-0.2	6	1000	10546667
5	-0.2	6	800	10546667
5	-0.2	6	600	10546667
5	-0.2	6	400	10546667
5	-0.2	6	200	10546667
5	-0.2	6	100	10546667
5	-0.2	6	50	10546667
5	-0.2	6	20	10546667
5	-0.2	6	10	10576667
5	-0.2	8	2000	9833333
5	-0.2	8	1000	9970000
5	-0.2	8	800	9970000
5	-0.2	8	600	9960000
5	-0.2	8	400	9960000
5	-0.2	8	200	9800000
5	-0.2	8	100	9813333
5	-0.2	8	50	9813333
5	-0.2	8	20	9890000
5	-0.2	8	10	9983333
5	-0.2	10	2000	9783333
5	-0.2	10	1000	8673333
5	-0.2	10	800	8540000
5	-0.2	10	600	7590000
5	-0.2	10	400	5366667
5	-0.2	10	200	6076667
5	-0.2	10	100	6143333
5	-0.2	10	50	5900000
5	-0.2	10	20	5790000
5	-0.2	10	10	5950000
5	-0.2	12	2000	9596667
5	-0.2	12	1000	10070000
5	-0.2	12	800	9910000
5	-0.2	12	600	8676667
5	-0.2	12	400	6600000
5	-0.2	12	200	6716667
5	-0.2	12	100	6463333
5	-0.2	12	50	5793333
5	-0.2	12	20	5866667
5	-0.2	12	10	5793333
5	-0.2	16	2000	9363333
5	-0.2	16	1000	9780000
5	-0.2	16	800	9620000
5	-0.2	16	600	7603333
5	-0.2	16	400	5453333
5	-0.2	16	200	4546667
5	-0.2	16	100	4303333
5	-0.2	16	50	3363333
5	-0.2	16	20	3423333
5	-0.2	16	10	3280000
5	-0.2	20	2000	9343333
5	-0.2	20	1000	10196667
5	-0.2	20	800	10033333
5	-0.2	20	600	8560000
5	-0.2	20	400	6553333
5	-0.2	20	200	4333333
5	-0.2	20	100	2830000
5	-0.2	20	50	1783333
5	-0.2	20	20	1140000
5	-0.2	20	10	8.00E+05
5	-0.2	50	2000	NA
5	-0.2	50	1000	NA
5	-0.2	50	800	NA
5	-0.2	50	600	NA
5	-0.2	50	400	NA
5	-0.2	50	200	NA
5	-0.2	50	100	NA
5	-0.2	50	50	NA
5	-0.2	50	20	NA
5	-0.2	50	10	NA
5	-0.2	750	2000	NA
5	-0.2	750	1000	NA
5	-0.2	750	800	NA
5	-0.2	750	600	NA
5	-0.2	750	400	NA
5	-0.2	750	200	NA
5	-0.2	750	100	NA
5	-0.2	750	50	NA
5	-0.2	750	20	NA
5	-0.2	750	10	NA
5	-0.2	1000	2000	NA
5	-0.2	1000	1000	NA
5	-0.2	1000	800	NA
5	-0.2	1000	600	NA
5	-0.2	1000	400	NA
5	-0.2	1000	200	NA
5	-0.2	1000	100	NA
5	-0.2	1000	50	NA
5	-0.2	1000	20	NA
5	-0.2	1000	10	NA
5	-0.1	4	2000	9076667
5	-0.1	4	1000	9066667
5	-0.1	4	800	9066667
5	-0.1	4	600	9066667
5	-0.1	4	400	9066667
5	-0.1	4	200	9066667
5	-0.1	4	100	9066667
5	-0.1	4	50	9066667
5	-0.1	4	20	9066667
5	-0.1	4	10	9066667
5	-0.1	6	2000	10683333
5	-0.1	6	1000	10546667
5	-0.1	6	800	10546667
5	-0.1	6	600	10546667
5	-0.1	6	400	10546667
5	-0.1	6	200	10546667
5	-0.1	6	100	10546667
5	-0.1	6	50	10546667
5	-0.1	6	20	10546667
5	-0.1	6	10	10576667
5	-0.1	8	2000	9833333
5	-0.1	8	1000	9970000
5	-0.1	8	800	9970000
5	-0.1	8	600	9960000
5	-0.1	8	400	9960000
5	-0.1	8	200	9800000
5	-0.1	8	100	9813333
5	-0.1	8	50	9813333
5	-0.1	8	20	9890000
5	-0.1	8	10	9983333
5	-0.1	10	2000	9783333
5	-0.1	10	1000	8673333
5	-0.1	10	800	8540000
5	-0.1	10	600	7590000
5	-0.1	10	400	5366667
5	-0.1	10	200	6076667
5	-0.1	10	100	6143333
5	-0.1	10	50	5900000
5	-0.1	10	20	5790000
5	-0.1	10	10	5950000
5	-0.1	12	2000	9596667
5	-0.1	12	1000	10070000
5	-0.1	12	800	9910000
5	-0.1	12	600	8676667
5	-0.1	12	400	6600000
5	-0.1	12	200	6716667
5	-0.1	12	100	6463333
5	-0.1	12	50	5793333
5	-0.1	12	20	5866667
5	-0.1	12	10	5793333
5	-0.1	16	2000	9363333
5	-0.1	16	1000	9780000
5	-0.1	16	800	9620000
5	-0.1	16	600	7603333
5	-0.1	16	400	5453333
5	-0.1	16	200	4546667
5	-0.1	16	100	4303333
5	-0.1	16	50	3363333
5	-0.1	16	20	3423333
5	-0.1	16	10	3280000
5	-0.1	20	2000	9343333
5	-0.1	20	1000	10196667
5	-0.1	20	800	10033333
5	-0.1	20	600	8560000
5	-0.1	20	400	6553333
5	-0.1	20	200	4333333
5	-0.1	20	100	2830000
5	-0.1	20	50	1783333
5	-0.1	20	20	1140000
5	-0.1	20	10	8.00E+05
5	-0.1	50	2000	NA
5	-0.1	50	1000	NA
5	-0.1	50	800	NA
5	-0.1	50	600	NA
5	-0.1	50	400	NA
5	-0.1	50	200	NA
5	-0.1	50	100	NA
5	-0.1	50	50	NA
5	-0.1	50	20	NA
5	-0.1	50	10	NA
5	-0.1	750	2000	NA
5	-0.1	750	1000	NA
5	-0.1	750	800	NA
5	-0.1	750	600	NA
5	-0.1	750	400	NA
5	-0.1	750	200	NA
5	-0.1	750	100	NA
5	-0.1	750	50	NA
5	-0.1	750	20	NA
5	-0.1	750	10	NA
5	-0.1	1000	2000	NA
5	-0.1	1000	1000	NA
5	-0.1	1000	800	NA
5	-0.1	1000	600	NA
5	-0.1	1000	400	NA
5	-0.1	1000	200	NA
5	-0.1	1000	100	NA
5	-0.1	1000	50	NA
5	-0.1	1000	20	NA
5	-0.1	1000	10	NA
5	0.1	4	2000	0
5	0.1	4	1000	0
5	0.1	4	800	0
5	0.1	4	600	0
5	0.1	4	400	0
5	0.1	4	200	0
5	0.1	4	100	0
5	0.1	4	50	0
5	0.1	4	20	0
5	0.1	4	10	0
5	0.1	6	2000	0
5	0.1	6	1000	0
5	0.1	6	800	0
5	0.1	6	600	0
5	0.1	6	400	0
5	0.1	6	200	0
5	0.1	6	100	0
5	0.1	6	50	0
5	0.1	6	20	0
5	0.1	6	10	0
5	0.1	8	2000	0
5	0.1	8	1000	0
5	0.1	8	800	0
5	0.1	8	600	0
5	0.1	8	400	0
5	0.1	8	200	0
5	0.1	8	100	0
5	0.1	8	50	0
5	0.1	8	20	0
5	0.1	8	10	0
5	0.1	10	2000	0
5	0.1	10	1000	0
5	0.1	10	800	0
5	0.1	10	600	0
5	0.1	10	400	0
5	0.1	10	200	0
5	0.1	10	100	0
5	0.1	10	50	0
5	0.1	10	20	0
5	0.1	10	10	0
5	0.1	12	2000	0
5	0.1	12	1000	0
