fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	lambda_l1	lambda_l2	prob_corte	ganancia	iteracion
20220411 232245	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	517	TRUE	0.0224582831304174	0.480010874516531	2247	11	1	12	0.0157051255914397	13486000	79
20220411 232342	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	467	TRUE	0.0210736996154242	0.471098858362722	2952	10	16	3	0.0140780342317169	13055000	80
20220411 232433	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	317	TRUE	0.0249018048323025	0.484304459343055	2000	14	8	7	0.0148607319667513	13614000	81
20220411 232511	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	159	TRUE	0.036820858473399	0.400201728496256	2047	31	0	7	0.0152373777474631	13606000	82
20220411 232621	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	712	TRUE	0.0201448910867123	0.455271550117776	2855	9	7	29	0.0140611687311046	13301000	83
20220411 232652	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	183	TRUE	0.0383870682926226	0.412164042018959	2001	16	2	14	0.0156983633103558	13389000	84
20220411 232722	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	123	TRUE	0.0394761396388058	0.485210539196376	2079	23	0	4	0.017027246943772	13852000	85
20220411 232755	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	148	TRUE	0.0383081343585027	0.463907398641303	2001	24	0	5	0.0172386183528651	13669000	86
20220411 232828	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	117	TRUE	0.0398659412723915	0.497478699005678	2081	25	0	4	0.0163165214303212	13477000	87
20220411 232901	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	215	TRUE	0.0372146425688939	0.48429796049007	2084	15	0	5	0.0170559091550993	13666000	88
20220411 232938	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	149	TRUE	0.038630683811563	0.483548137244868	2652	29	0	8	0.0169842018060134	13601000	89
20220411 233019	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	371	TRUE	0.0210063151739041	0.400261132197386	2019	6	5	5	0.0155579466804071	13694000	90
20220411 233051	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	207	TRUE	0.0382594238600049	0.478681427806122	2658	29	10	0	0.0141116764728511	13274000	91
20220411 233130	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	223	TRUE	0.0394450659367598	0.485397056050642	2172	22	0	26	0.0169185002084518	13615000	92
20220411 233221	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	407	TRUE	0.0200385592384599	0.400005906891935	2646	7	2	18	0.0173650337068905	13386000	93
20220411 233314	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	445	TRUE	0.0231894265782373	0.403115793986904	2000	13	0	0	0.0161128167408096	13393000	94
20220411 233350	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	155	TRUE	0.0330616313855514	0.484997413580827	2032	22	0	7	0.0157408451030939	13715000	95
20220411 233502	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	408	TRUE	0.0222247798196787	0.400187725219749	2001	25	6	7	0.0179742894394684	13415000	96
20220411 233604	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	348	TRUE	0.022301131100158	0.488559560737555	2971	27	8	16	0.0142376731550706	13336000	97
20220411 233642	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	146	TRUE	0.0397555025136068	0.401791192210048	2193	30	7	3	0.0178556686525553	13399000	98
20220411 233728	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	223	TRUE	0.0274306528054395	0.49040938867695	2001	21	0	7	0.0197571667758421	13418000	99
20220411 233823	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	332	TRUE	0.0375194374998396	0.481629089880431	2822	30	8	25	0.0133953896238751	13201000	100
20220411 233857	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	163	TRUE	0.0399711962410522	0.466084042488015	2398	25	0	0	0.0175294963899715	13450000	101
20220411 233933	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	226	TRUE	0.0333863310377078	0.400056302484162	2842	16	1	25	0.0183208736082342	13468000	102
20220411 234015	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	198	TRUE	0.0206863009381666	0.49993393636889	2664	15	27	8	0.0144794195905205	12715000	103
20220411 234105	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	239	TRUE	0.0354882893737135	0.400118030752591	2103	31	2	24	0.0167981712243714	13357000	104
20220411 234127	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	59	TRUE	0.038923138161969	0.460308007444848	2007	15	0	27	0.0144108378910945	13158000	105
20220411 234253	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	492	TRUE	0.0200933649023782	0.456231641776016	2626	24	5	6	0.0139002018667006	13324000	106
20220411 234329	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	240	TRUE	0.0217897010021688	0.411255352448904	2972	8	0	27	0.0194164281969843	13410000	107
20220411 234430	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	629	TRUE	0.0293600559968123	0.401940661483834	2002	11	7	6	0.0143281924260623	13417000	108
20220411 234558	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	765	TRUE	0.0222117635002311	0.487317155564989	2001	15	6	25	0.015827374305818	13584000	109
20220411 234644	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	217	TRUE	0.0252822092469303	0.488522199215605	2999	22	0	7	0.0184176783902212	13705000	110
20220411 234731	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	241	TRUE	0.0378677827229044	0.488368108588493	2819	22	6	12	0.0186617098789253	13480000	111
20220411 234848	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	508	TRUE	0.0211878009748068	0.436337151385116	2874	22	0	14	0.0189544751841624	13562000	112
20220411 234927	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	168	TRUE	0.0220597016088585	0.406713920859645	2991	18	0	7	0.0181869576292029	13409000	113
20220411 235008	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	174	TRUE	0.0397529925342409	0.480010236491708	2989	29	0	4	0.0191954296513098	13484000	114
20220411 235114	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	393	TRUE	0.0247392846889152	0.485017960704524	2884	23	0	24	0.0193803470485358	13455000	115
20220411 235212	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	249	TRUE	0.0225692772750234	0.48260427455785	2764	25	0	7	0.018513311181197	13637000	116
20220411 235304	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	288	TRUE	0.0220067292743737	0.460263844664477	3000	17	0	10	0.0190617453152445	13470000	117
20220411 235414	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	811	TRUE	0.0226398232419585	0.436965563626748	2720	8	9	24	0.0190954936917486	13431000	118
20220411 235458	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	390	TRUE	0.0200105491941488	0.440504113733584	2708	6	0	8	0.0144332640456956	13453000	119
20220411 235557	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	360	TRUE	0.0331384935215437	0.400894484753743	2777	31	0	14	0.0141808795746485	13352000	120
20220411 235651	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	340	TRUE	0.0247566734651031	0.486354918063285	2499	13	10	25	0.0137629398760381	13275000	121
20220411 235751	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	402	TRUE	0.0225019512034041	0.498168177863797	2919	18	0	9	0.015536987212487	13684000	122
20220411 235837	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	221	TRUE	0.0298889202623559	0.496841470048355	2895	23	0	9	0.0171923536296614	13575000	123
20220411 235933	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	289	TRUE	0.0214034512194486	0.458782994356422	2628	31	0	19	0.0111729398132383	13225000	124
20220412 000047	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	839	TRUE	0.020768683495993	0.405855589648495	2153	6	29	16	0.0195403927112457	12483000	125
20220412 000124	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	177	TRUE	0.0390105688479351	0.430787516860594	2000	23	7	5	0.0187855855908481	13199000	126
20220412 000145	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	124	TRUE	0.0398342427706825	0.475549591065259	2115	31	20	1	0.0179073499544603	12996000	127
20220412 000223	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	31	224	TRUE	0.0238982664762615	0.495048374807495	2772	7	0	7	0.0149347630399487	13392000	128
